req_id,requirement,source,level,evidence_required,current_status,responsible,category
PERF-03,Mechanical-ventilator integration when present,topic,PREFERRED,Integrated vent architecture,DESIGNED - T1-class ventilation absorbed,NURA,PERF
PERF-04,CO2 removal >=80 mL/min,topic,threshold,Direct measurement,MODELLED - 1.573 L/min sweep required (Artifact 05),Partners,PERF
PERF-05,Autonomous fluid resuscitation,topic,required,Closed-loop fluid/blood,TARGET,NURA,PERF
PERF-06,Autonomous vasopressor titration,topic,required,Closed-loop vasopressor,TARGET,NURA,PERF
PERF-07,"Maintain perfusion pressure, not cuff BP",topic,required,Perfusion surrogate across validation,TARGET - frame on perfusion,NURA,PERF
PERF-08,Hemorrhage model >=50% EBV over 6 h,topic,example,Large-animal protocol,OPEN - needs animal site,Partners,ANIMAL
PERF-09,Integrated validation >=24 h,topic,context,24-h combined model,OPEN,Partners,ANIMAL
PERF-11,Closed-loop O2 algorithm development/validation,topic,required,Algorithm + validation data,TARGET - DP2 Option A,NURA,PERF
PERF-12,Closed-loop fluid-resuscitation algorithm,topic,required,Algorithm + validation data,TARGET,NURA,PERF
PERF-13,Integrated gas-exchange + resuscitation autonomy,topic,required,Combined closed-loop evidence,TARGET,NURA,PERF
ADMIN-SAM,Active SAM.gov registration + UEI,DARPA Proposer General Terms,MUST,Registration + UEI in proposal,OPEN - BLOCKER - confirm today,Eddie,ADMIN
ADMIN-SPRS,NIST SP 800-171 DoD Assessment,DARPA SBIR/STTR P2 instructions,MUST,Current SPRS score,OPEN - requires live-system gap analysis + POA&M,NURA/Oussama,ADMIN
ADMIN-DSIP,DSIP registration (login.gov),DARPA instructions,MUST,Account,OPEN,Eddie,ADMIN
ADMIN-SBA,SBA Company Registry,DARPA instructions,MUST,Registration,OPEN,Eddie,ADMIN
ADMIN-COST,DARPA Cost Proposal template,DARPA instructions,MUST (mandatory),Completed template,OPEN,NURA/Finance,ADMIN
ADMIN-DCMA,Accounting system approval (DCMA),DARPA instructions,conditional,Determination letter if FAR cost-plus,UNKNOWN - contract type not selected,Eddie/Finance,ADMIN
ADMIN-5050,>=50% work by proposing small business,SBIR Phase II rule,MUST,Work-share matrix,AT RISK - staffing gap (decision 12),Eddie,ADMIN
ADMIN-ENTITY,Single qualifying proposing entity,SBIR rules,MUST,UEI + ownership/affiliation disclosure,OPEN - Wyoming recommended; counsel to confirm,Eddie/Legal,ADMIN
